var,0,1,2,3,4,5,6,7,8,9,dt
loan__54_finance_cnt_7d,1416200405,47712,7111,2356,1037,798,404,145,0,0,2020-02-03
car__502_amount_cnt_7d,1416259937,24,7,0,0,0,0,0,0,0,2020-02-03
loan__135_petty_amount_cnt_15d,1375118301,21633068,10506518,3222638,2851323,690769,773957,554982,644621,263791,2020-02-03
bank_budget__1_cnt_7d,1382792568,21540640,6011246,3722107,690041,878997,622736,1633,0,0,2020-02-03
loan__140_strong_cnt_7d,1416259968,0,0,0,0,0,0,0,0,0,2020-02-03
loan__131_orgcnt_15d,1407412317,8298716,442003,78613,28279,40,0,0,0,0,2020-02-03
loan__134_strong_cnt_7d,1416256294,2310,83,1281,0,0,0,0,0,0,2020-02-03
loan__54_orgcnt_15d,1411826556,3883675,395483,102562,32984,18707,1,0,0,0,2020-02-03
loan__135_strong_amount_sum_15d,1415863692,54541,36023,57419,51490,38138,79468,51115,28082,0,2020-02-03
loan__137_finance_cnt_7d,1415372713,546310,163320,84717,41143,37976,10950,2839,0,0,2020-02-03
airplane__2_cnt_7d,1415633163,493642,87322,22701,20980,2160,0,0,0,0,2020-02-03
invest__122_amount_sum_7d,1415927128,5023,129241,16170,16559,8082,73559,23704,60502,0,2020-02-03
bank_budget__24_amount_min_15d,1416147208,53749,9578,2821,3755,1878,22463,5952,2386,10178,2020-02-03
loan__53_petty_orgcnt_7d,1412641777,3354264,232868,30649,410,0,0,0,0,0,2020-02-03
credit_card__55_cnt_15d,1371051224,29375652,6554702,2916486,1693290,1071347,746201,1238955,935637,676474,2020-02-03
loan__135_strong_cnt_15d,1415328715,769529,119818,25931,10432,5505,38,0,0,0,2020-02-03
loan__135_finance_amount_sum_15d,1410904314,1068063,546953,728331,445733,436019,939141,699943,491471,0,2020-02-03
hotel__25_cnt_7d,1414872491,1124994,137476,60938,28548,20450,15007,64,0,0,2020-02-03
credit_card__60_overdue2_15d,1415603645,493018,150982,8389,3934,0,0,0,0,0,2020-02-03
bank_budget__24_amount_sum_15d,1416147213,52541,9427,2777,3687,1841,20784,12226,2081,7391,2020-02-03
loan__135_petty_amount_max_15d,1375118301,8590650,9018306,3978578,2599691,2900250,6346164,4362702,3345326,0,2020-02-03
invest__123_amount_sum_7d,1416065139,58235,7270,12064,12314,19912,24883,29824,30327,0,2020-02-03
bank_budget__22_orgcnt_7d,1235524429,157900324,19182199,2908820,559512,184455,229,0,0,0,2020-02-03
loan__135_strong_orgcnt_15d,1415328715,929157,2081,15,0,0,0,0,0,0,2020-02-03
credit_card__60_orgcnt_15d,1410214149,5848688,174782,22291,58,0,0,0,0,0,2020-02-03
bank_budget__24_cnt_7d,1416196275,58668,3741,364,920,0,0,0,0,0,2020-02-03
loan__135_petty_orgcnt_15d,1360273070,45481718,7264551,2113554,715302,256783,94944,59894,152,0,2020-02-03
loan__135_petty_amount_sum_15d,1375123348,9072956,7209268,7046253,4003050,3307653,5107512,3082205,2307723,0,2020-02-03
bank_budget__23_amount_min_7d,1393672946,1031745,1237392,2627082,1748341,1796822,3928607,3938870,6278163,0,2020-02-03
credit_card__60_orgcnt_7d,1412505202,3700849,51122,2795,0,0,0,0,0,0,2020-02-03
credit_card__55_amount_big_7d,1411513147,3249930,896633,315479,201735,82644,400,0,0,0,2020-02-03
loan__135_finance_cnt_7d,1412454858,2456083,712209,402023,104161,34159,25447,70737,291,0,2020-02-03
loan__137_strong_amount_sum_7d,1416066002,51,15704,33940,49630,41074,26782,18461,5421,2903,2020-02-03
bank_budget__21_amount_cnt_15d,1257725001,80209081,32209754,15410031,14323158,3638880,2441298,6107505,2416179,1779081,2020-02-03
credit_card__55_amount_max_15d,1376831259,10293919,3357097,4851283,3332314,2847175,5765810,4635537,4345574,0,2020-02-03
loan__135_little_orgcnt_15d,1407003674,9084506,167225,4545,18,0,0,0,0,0,2020-02-03
loan__135_cnt_7d,1370287986,29200888,8292852,3178944,2640585,649201,523596,740845,405067,340004,2020-02-03
loan__137_strong_overdue1_7d,1416055610,198606,3170,1073,688,137,652,32,0,0,2020-02-03
loan__137_little_cnt_15d,1415248584,673918,167857,53748,39732,40638,35100,391,0,0,2020-02-03
car__501_cnt_7d,1414876369,1276743,77388,14436,5859,1571,7574,28,0,0,2020-02-03
bank_budget__21_amount_max_15d,1257725001,19315344,9453988,16573046,12268581,11819660,31249101,29690576,28164671,0,2020-02-03
loan__141_little_cnt_15d,1416259902,44,22,0,0,0,0,0,0,0,2020-02-03
bank_budget__22_amount_max_15d,1152145597,46039588,29950388,27868547,25135592,25562316,47084518,34335855,28137567,0,2020-02-03
invest__124_cnt_7d,1416259968,0,0,0,0,0,0,0,0,0,2020-02-03
bank_budget__24_cnt_15d,1415120343,854250,110170,82123,93082,0,0,0,0,0,2020-02-03
loan__134_little_cnt_7d,1416230280,25133,2764,1134,176,462,19,0,0,0,2020-02-03
bank_budget__22_cnt_15d,1024105605,151913002,68706002,63335865,42149404,15451004,10677427,24703001,10835617,4383041,2020-02-03
loan__53_finance_orgcnt_7d,1416191100,68820,48,0,0,0,0,0,0,0,2020-02-03
loan__137_stages_cnt_7d,1414562900,924737,346978,193739,73379,35182,93756,29286,11,0,2020-02-03
loan__137_orgcnt_7d,1410249124,5014185,681384,202256,71182,26489,15342,6,0,0,2020-02-03
credit_card__60_overdue1_7d,1412606829,3040517,559849,41375,8425,2874,99,0,0,0,2020-02-03
